latitude,longitude,hour,minute
40.747997,-73.989189,10,23
40.775429,-73.982216,10,44
40.759991,-73.99511,10,48
40.73119,-73.978745,10,41
40.780945,-73.979645,10,43
40.726585,-73.986839,2,58
40.70483,-74.013947,2,44
40.755386,-73.921951,2,58
40.747719,-74.004364,2,54
40.719147,-73.989761,2,54
40.769302,-73.988701,10,14
40.785385,-73.951271,10,15
40.803013,-73.94902,10,14
40.757904,-74.00074,10,5
40.784622,-73.969971,10,14
40.769821,-73.954803,10,15
40.784264,-73.952461,10,14
40.785625,-73.969986,10,14
40.745384,-73.907944,10,11
40.751324,-73.991051,10,14
40.758343,-73.976845,10,13
40.748966,-73.99691,10,11
40.757954,-74.000893,10,18
40.735245,-74.008598,10,16
40.759735,-73.985703,10,9
40.7687,-73.981445,10,17
40.75528,-73.97683,10,15
40.781868,-73.979126,10,18
40.724876,-73.995636,10,14
40.776314,-73.947433,10,56
40.735455,-74.000443,11,3
40.804577,-73.93766,11,6
40.754524,-73.988884,11,6
40.767887,-73.963501,10,59
40.784176,-73.977547,11,6
40.780685,-73.95266,11,6
40.734303,-74.007156,11,7
40.7197,-73.99987,10,57
40.781906,-73.982948,11,11
40.759266,-73.986137,11,6
40.773071,-73.962624,11,12
40.756607,-73.991722,11,6
40.775311,-73.95182,10,57
40.768093,-73.984978,11,5
40.754387,-73.930077,11,1
40.757336,-73.978348,11,0
40.765091,-73.979347,11,6
40.776337,-73.958,11,11
40.68766,-73.98053,10,10
40.766563,-73.990463,10,21
40.74728,-74.003265,10,19
40.763645,-73.972015,10,16
40.743206,-74.003098,10,4
40.758144,-73.992737,10,10
40.776154,-73.987259,5,33
40.644684,-73.782051,5,21
40.737541,-74.005867,5,25
40.724346,-73.984764,5,30
40.7565,-73.96743,5,39
40.733616,-73.988312,5,31
40.724262,-73.992882,5,39
40.755566,-73.986053,5,26
40.765923,-73.919197,5,37
40.731232,-73.982681,5,32
40.727829,-74.003143,5,34
40.689865,-73.964874,5,45
40.713776,-74.008957,5,33
40.732361,-74.000687,5,36
40.644718,-73.781898,5,19
40.743061,-73.989243,5,12
40.645081,-73.781113,5,24
40.726837,-73.979935,5,41
40.720917,-74.001564,5,33
40.73608,-73.978989,5,58
40.738098,-73.996223,5,55
40.764107,-73.988258,5,43
40.727448,-73.979538,5,53
40.726276,-73.98941,5,52
40.644844,-73.78196,5,32
0,0,10,48
40.757206,-73.993553,11,9
40.74868,-73.988945,11,1
40.780041,-73.947098,10,58
40.779072,-73.988533,10,42
40.711128,-74.015465,10,41
40.75658,-73.99765,10,43
40.730785,-74.008995,10,47
40.786064,-73.950943,10,44
40.772701,-73.989517,10,24
40.773911,-73.8731,10,14
40.777473,-73.950424,10,25
40.739506,-73.991821,10,22
40.749386,-73.981697,10,21
40.702171,-74.012764,10,14
40.780735,-73.957222,10,13
40.756645,-73.972916,10,22
40.774544,-73.958817,10,18
40.761265,-73.9869,10,20
40.778755,-73.95121,10,23
40.770222,-73.980446,10,27
40.773933,-73.873085,10,5
40.768654,-73.958832,10,28
40.78434,-73.966942,10,29
40.718903,-73.988083,10,15
40.780914,-73.981377,10,48
40.728397,-74.002563,10,51
40.764229,-73.955772,10,46
40.706707,-74.009636,10,13
40.644794,-73.777573,9,59
40.756813,-73.973244,10,24
40.716454,-74.014923,10,6
40.787727,-73.977219,10,26
40.764648,-73.966194,10,26
40.777397,-73.963356,10,20
40.703655,-73.931435,9,54
40.759621,-73.988167,10,20
40.645103,-73.776772,13,34
40.779423,-73.958023,10,14
40.713799,-73.992844,10,16
40.645191,-73.78878,9,57
40.751862,-73.977867,10,20
40.71088,-74.003433,10,23
40.784031,-73.979866,10,25
40.721527,-74.004555,10,25
40.773952,-73.984787,10,0
40.756676,-73.990585,10,26
40.764637,-73.977036,10,27
40.754841,-73.971001,10,24
40.772636,-73.949554,10,21
40.723183,-73.98571,10,18
40.755882,-73.964699,4,43
40.730335,-73.986305,4,33
40.725525,-74.003899,4,31
40.773335,-73.985275,4,27
40.726227,-73.991959,4,34
40.725353,-73.991432,4,35
40.712021,-73.940544,4,27
40.759121,-73.996063,4,32
40.74411,-73.924706,4,28
40.739983,-74.005287,4,40
40.745495,-73.990723,4,15
40.729874,-73.992981,4,27
40.730492,-73.980438,4,41
40.740238,-74.007889,4,36
40.730762,-74.001572,4,43
40.74493,-73.978951,4,41
40.721115,-73.99369,4,39
40.74052,-73.987022,4,17
40.763931,-73.997643,4,33
40.755421,-73.921944,4,47
40.754677,-73.973511,4,47
40.787643,-73.974754,10,23
40.756893,-73.967659,10,16
40.771862,-73.95134,10,20
40.76453,-73.988159,4,46
40.680897,-73.962929,4,46
40.765182,-73.9916,10,24
40.783344,-73.978889,10,17
40.766865,-73.979042,10,19
40.756207,-73.97422,10,16
40.768654,-73.969475,10,22
40.781521,-73.954056,10,26
40.788609,-73.953255,10,18
40.777786,-73.988708,10,16
40.781818,-73.981163,10,18
0,0,10,19
40.728329,-73.984856,10,19
40.791191,-73.953384,10,22
40.756432,-73.982185,10,14
40.72575,-74.003883,10,22
40.753315,-73.994804,10,19
40.743271,-73.973,10,22
40.761444,-73.999115,10,24
40.745197,-73.978287,10,24
40.722286,-73.999619,10,30
40.7104,-74.015579,10,20
0,0,10,33
40.759216,-73.974976,10,17
40.762379,-73.974274,11,15
40.774769,-73.947929,11,4
40.769161,-73.981163,11,4
40.796516,-73.970154,11,10
40.757927,-74.000847,11,1
40.776596,-73.961632,10,58
40.774471,-73.977188,11,9
40.804287,-73.966515,11,10
40.721409,-73.958412,10,58
40.753353,-73.969643,11,12
40.745846,-73.978134,11,7
40.769535,-73.98555,11,9
40.769886,-73.954468,11,10
40.731792,-74.001213,11,12
40.779308,-73.984779,11,12
40.754349,-73.968239,11,8
40.763855,-73.967072,10,50
40.790325,-73.975121,10,51
40.768375,-73.982208,10,43
40.760113,-73.985062,10,23
40.771938,-73.965691,10,20
40.804333,-73.96666,10,24
40.755135,-73.980377,10,33
40.743568,-73.992493,10,28
40.733112,-73.975555,10,23
40.739014,-74.008102,4,38
40.763004,-73.985229,4,49
40.735924,-74.001465,4,48
40.730488,-73.983192,4,48
40.743896,-74.006821,4,50
40.740921,-74.005112,4,40
40.729465,-73.987068,4,39
40.721981,-73.997223,4,45
40.723801,-73.992668,4,51
40.731544,-74.001167,4,33
40.721008,-73.993668,4,46
40.746429,-73.97757,4,39
40.760601,-73.958496,4,40
0,0,4,58
40.725452,-73.986786,4,52
40.743801,-74.006927,4,51
40.719929,-73.988235,4,39
40.749928,-73.983238,10,11
40.757973,-74.000885,10,17
40.749424,-73.97155,10,16
40.745438,-73.998199,10,24
40.647102,-73.790443,9,54
40.779491,-73.944725,10,24
40.760399,-73.984039,10,25
40.781361,-73.98333,10,19
40.763065,-73.996895,4,41
40.756226,-73.970253,4,39
40.787563,-73.976997,3,59
40.728039,-73.995247,4,34
40.669369,-73.986557,4,30
40.734085,-73.988838,4,33
40.731178,-73.974106,4,41
40.714039,-74.006226,4,46
40.721096,-73.997581,4,36
40.76125,-73.986809,4,23
40.815384,-73.958099,4,45
40.76387,-73.973076,4,48
40.778702,-73.978149,4,30
40.71101,-74.015923,4,40
40.779926,-73.950752,10,19
40.795784,-73.950005,10,24
40.804863,-73.966103,10,26
40.758469,-73.973152,10,30
40.736637,-73.988937,10,22
40.744705,-73.983353,10,28
40.760235,-73.991302,10,24
40.738869,-73.983253,10,31
40.780781,-73.981438,10,30
40.76701,-73.960579,10,27
40.707031,-74.004662,11,5
40.769028,-73.983002,10,58
