NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
2402,34373 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,35371 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,36369 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2409,98,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,PARKING LOT
2409,9001,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,AIR RIGHTS
2409,9002,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,AIR RIGHTS
2409,9059,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,AIR RIGHTS
2409,90593200 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,3,
2409,90593204 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,3,
2409,90593210 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,3COMMUNITY OPERATIONS STORAGE
,,,,,,,(VACANT)
2413,,1681 COURTLANDT AVENUE,10451,MELROSE,MELROSE,1,
2413,,1685 COURTLANDT AVENUE,10451,MELROSE,MELROSE,1,
2413,,1731 COURTLANDT AVENUE,10451,MELROSE,MELROSE,,1COMMUNITY OPERATIONS SPACE
,,,,,,,(VACANT)
2413,,1345 EAST 153RD STREET,10451,MELROSE,MELROSE,,1DEVELOPMENT MANAGEMENT
,,,,,,,OFFICE
2413,,1321 EAST 153RD STREET,10451,MELROSE,MELROSE,1,
2413,,1325 EAST 153RD STREET,10451,MELROSE,MELROSE,1,
2413,,1301 EAST 153RD STREET,10451,MELROSE,MELROSE,,1COMMUNITY OPERATIONS SPACE/
,,,,,,,STORAGE
2413,,1305 EAST 153RD STREET,10451,MELROSE,MELROSE,1,
2413,,1277 EAST 153RD STREET,10451,MELROSE,MELROSE,,1COMMUNITY OPERATIONS SPACE
,,,,,,,(VACANT)
2413,,1281 EAST 153RD STREET,10451,MELROSE,MELROSE,1,
2413,,1346 EAST 156TH STREET,10451,MELROSE,MELROSE,1,
