Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/22  12:00:00,296.072010195,36.4814399975,134.450876076,0.0,32.1804615127,65.7244621605,240.389169719,4.63555047915,83.4695,152.28411924
 05/22  13:00:00,285.552828517,36.465269976,133.652681558,0.0,32.1804615127,55.9779621605,227.834430567,4.47938092884,75.1392,148.215849638
 05/22  14:00:00,284.240891208,36.4967088107,132.308419594,0.0,32.1804615127,55.9779621605,224.588281531,4.48227111244,66.8089,153.297110419
 05/22  15:00:00,284.022539769,36.5254443548,132.07048541,0.0,32.1804615127,55.9779621605,226.07886829,4.31208745498,75.1392,146.627580835
 05/22  16:00:00,313.385743322,36.3665442776,132.329554599,0.0,32.1804615127,60.9114621605,209.012222668,1.7757298833,91.7998,115.436692785
 05/22  17:00:00,348.810068616,35.8834495156,133.206615609,0.0,32.1804615127,77.5397301883,225.283563132,4.83695890854,49.9818,170.464804223
 05/22  18:00:00,401.942413682,35.9803794722,132.303467166,0.0,77.122965704,86.2600435998,362.159591459,5.36827247537,49.9818,306.809518983
 05/22  19:00:00,409.964667688,36.0158063406,132.554279556,0.0,102.647051061,80.1663183927,271.85837212,5.24095567782,33.3212,233.296216443
 05/22  20:00:00,452.105601427,35.9866784066,132.678326899,0.0,115.40909374,92.7192997104,264.898181167,5.61295920448,33.3212,225.964021962
 05/22  21:00:00,426.678758084,36.0427828143,130.884063334,0.0,102.647051061,94.1340635361,365.962158038,5.99696212089,24.9909,334.974295917
 05/22  22:00:00,359.71679713,36.0891499269,130.436423755,0.0,77.122965704,65.871452062,272.632044189,8.09305230048,16.6606,247.878391889
 05/22  23:00:00,292.223080809,36.0279119603,131.034477871,0.0,38.286128036,48.4199368926,164.40614446,11.0074085492,8.3303,145.068435911
 05/22  24:00:00,231.474006705,33.293155379,113.175967538,0.0,25.5240853573,30.610668775,112.135816507,0.015426552633,3.33212,108.788269955
 05/23  01:00:00,222.509414635,33.293155379,111.571139307,0.0,19.418418834,29.3649097162,90.381706366,0.0514265280946,3.33212,86.9981598379
 05/23  02:00:00,199.867742821,32.7608167693,98.1394603261,0.0,12.7620426787,28.1191506574,84.2086639364,0.100873551737,3.33212,80.7756703847
 05/23  03:00:00,208.288462355,33.5593246838,104.977880022,0.0,12.7620426787,28.1191506574,90.6533003122,0.340969176034,3.33212,86.9802111361
 05/23  04:00:00,219.997211491,33.8254939887,108.593604038,0.0,12.7620426787,28.1191506574,112.346413923,0.286164931749,3.33212,108.728128991
 05/23  05:00:00,241.245894891,33.8254939887,110.597290791,0.0,25.5240853573,30.610668775,204.499957917,0.234459792822,8.3303,195.935198124
 05/23  06:00:00,336.059853719,33.9319617106,115.642001901,0.0,51.0481707146,78.1489452969,350.673548185,0.195982480256,16.6606,333.816965705
 05/23  07:00:00,409.294764713,35.8244133278,127.694122179,0.0,64.3609230253,109.708623606,475.709780597,9.22843866758,24.9909,441.490441929
 05/23  08:00:00,367.935831524,35.7541876277,129.093261235,0.0,51.0481707146,80.7689615957,376.828965183,4.36220243819,33.3212,339.145562745
 05/23  09:00:00,337.737826977,36.2528586299,127.552420933,0.0,51.0481707146,71.0224615957,326.216514231,1.03310771461,66.8089,258.374506516
 05/23  10:00:00,288.248508512,36.3531873554,126.694573955,0.0,32.1804615127,65.7244621605,292.353875922,3.56609130853,83.4695,205.318284614
 05/23  11:00:00,287.585549613,36.4519388719,125.28048287,0.0,32.1804615127,65.7244621605,241.633571396,4.35526851317,83.4695,153.808802883
 05/23  12:00:00,285.1862768,36.5026918774,123.54685557,0.0,32.1804615127,65.7244621605,241.802968475,4.73240573426,83.4695,153.601062741
 05/23  13:00:00,275.292809949,36.4666076848,123.398548233,0.0,32.1804615127,55.9779621605,233.050032626,4.55401422272,75.1392,153.356818403
 05/23  14:00:00,275.359006863,36.4982179656,123.415859724,0.0,32.1804615127,55.9779621605,217.682200418,4.30757453842,66.8089,146.56572588
 05/23  15:00:00,274.688154172,36.5278352586,122.712315746,0.0,32.1804615127,55.9779621605,227.014054473,4.03432596006,75.1392,147.840528513
 05/23  16:00:00,305.311315224,36.4153113975,124.187216993,0.0,32.1804615127,60.9114621605,207.857809375,1.91835020681,91.7998,114.139659168
 05/23  17:00:00,342.146648537,35.9343865641,126.474490222,0.0,32.1804615127,77.5397301883,225.99832752,5.69384951198,49.9818,170.322678008
 05/23  18:00:00,396.201375126,36.0254358477,126.511194613,0.0,77.122965704,86.2600435998,362.103986537,5.82870079596,49.9818,306.293485741
 05/23  19:00:00,405.662036291,36.034934705,128.861830864,0.0,102.647051061,80.1663183927,268.747433621,6.43494115848,33.3212,228.991292463
 05/23  20:00:00,451.660750704,35.9908627119,133.885576959,0.0,115.40909374,92.7192997104,266.701449098,6.88963088963,33.3212,226.490618208
 05/23  21:00:00,429.666998496,36.0345191915,136.033852467,0.0,102.647051061,94.1340635361,365.132643273,7.87114231911,24.9909,332.270600954
